,epoch,train_mse,val_mse,train_rmse,val_rmse,train_r2,val_r2
0,0,6.710324287414551,7.504021644592285,2.5904293060302734,2.739346981048584,-4.061160564422607,-4.437744617462158
1,1,6.457742691040039,7.205713748931885,2.5412089824676514,2.6843459606170654,-3.870655059814453,-4.2215776443481445
2,2,6.216089725494385,6.921220302581787,2.493208646774292,2.6308212280273438,-3.68839168548584,-4.015420913696289
3,3,5.9848713874816895,6.649862766265869,2.446399688720703,2.57873272895813,-3.5139989852905273,-3.8187832832336426
4,4,5.763617515563965,6.39099645614624,2.4007534980773926,2.5280420780181885,-3.3471217155456543,-3.631197452545166
5,5,5.551880836486816,6.1440110206604,2.3562428951263428,2.4787116050720215,-3.187422752380371,-3.452220916748047
6,6,5.349234580993652,5.908328056335449,2.3128411769866943,2.4307053089141846,-3.034579277038574,-3.2814345359802246
7,7,5.155272483825684,5.683399677276611,2.2705225944519043,2.38398814201355,-2.8882863521575928,-3.118441581726074
8,8,4.969605445861816,5.468706130981445,2.2292611598968506,2.338526487350464,-2.7482497692108154,-2.9628653526306152
9,9,4.791864395141602,5.2637529373168945,2.189032793045044,2.2942869663238525,-2.6141915321350098,-2.8143470287323
10,10,4.62169885635376,5.06807279586792,2.149813652038574,2.2512381076812744,-2.485846519470215,-2.672548532485962
11,11,4.458771228790283,4.881220817565918,2.1115803718566895,2.209348440170288,-2.3629610538482666,-2.5371475219726562
12,12,4.302762508392334,4.7027764320373535,2.074310064315796,2.168588638305664,-2.245293617248535,-2.407838821411133
13,13,4.1533660888671875,4.532339096069336,2.037980794906616,2.1289291381835938,-2.1326136589050293,-2.284332513809204
14,14,4.010291576385498,4.369527816772461,2.0025713443756104,2.090341567993164,-2.0247018337249756,-2.1663520336151123
15,15,3.873260736465454,4.213982105255127,1.9680601358413696,2.0527985095977783,-1.9213485717773438,-2.0536370277404785
16,16,3.7420082092285156,4.065360069274902,1.9344271421432495,2.0162737369537354,-1.8223533630371094,-1.9459388256072998
17,17,3.616281747817993,3.923335552215576,1.9016523361206055,1.9807411432266235,-1.7275259494781494,-1.8430216312408447
18,18,3.4958388805389404,3.7875990867614746,1.8697162866592407,1.946175456047058,-1.636683702468872,-1.7446610927581787
19,19,3.380449056625366,3.6578567028045654,1.8385998010635376,1.9125523567199707,-1.5496528148651123,-1.6506438255310059
20,20,3.269893169403076,3.5338289737701416,1.8082846403121948,1.8798481225967407,-1.4662675857543945,-1.5607681274414062
21,21,3.16396164894104,3.4152512550354004,1.7787528038024902,1.8480398654937744,-1.3863704204559326,-1.474841594696045
22,22,3.0624523162841797,3.3018696308135986,1.7499864101409912,1.817104697227478,-1.3098084926605225,-1.3926801681518555
23,23,2.965174674987793,3.193444013595581,1.7219682931900024,1.7870210409164429,-1.236438274383545,-1.3141100406646729
24,24,2.87194561958313,3.0897467136383057,1.6946815252304077,1.7577675580978394,-1.1661217212677002,-1.238966464996338
25,25,2.7825913429260254,2.990560293197632,1.6681101322174072,1.7293236255645752,-1.0987277030944824,-1.1670916080474854
26,26,2.696943759918213,2.895677328109741,1.6422374248504639,1.7016689777374268,-1.0341291427612305,-1.0983352661132812
27,27,2.614844799041748,2.804901361465454,1.6170481443405151,1.6747839450836182,-0.9722071886062622,-1.0325548648834229
28,28,2.5361406803131104,2.718045711517334,1.5925265550613403,1.6486496925354004,-0.9128458499908447,-0.9696155786514282
29,29,2.4606871604919434,2.6349315643310547,1.5686577558517456,1.6232472658157349,-0.8559361696243286,-0.9093873500823975
30,30,2.3883450031280518,2.5553886890411377,1.5454270839691162,1.5985583066940308,-0.8013731241226196,-0.8517472743988037
31,31,2.318981409072876,2.479257106781006,1.522820234298706,1.5745656490325928,-0.7490568161010742,-0.7965787649154663
32,32,2.252469539642334,2.406381130218506,1.500822901725769,1.5512515306472778,-0.6988911628723145,-0.743769645690918
33,33,2.188688039779663,2.336615800857544,1.4794214963912964,1.5285992622375488,-0.650784969329834,-0.6932146549224854
34,34,2.1275205612182617,2.269820213317871,1.4586023092269897,1.5065922737121582,-0.6046502590179443,-0.6448116302490234
35,35,2.0688562393188477,2.205862045288086,1.4383518695831299,1.4852144718170166,-0.5604037046432495,-0.5984647274017334
36,36,2.0125892162323,2.1446142196655273,1.4186575412750244,1.4644501209259033,-0.5179650783538818,-0.554081916809082
37,37,1.9586187601089478,2.085956573486328,1.3995065689086914,1.4442840814590454,-0.477258563041687,-0.5115759372711182
38,38,1.9068471193313599,2.029773473739624,1.3808863162994385,1.42470121383667,-0.4382106065750122,-0.4708632230758667
39,39,1.8571815490722656,1.9759552478790283,1.362784504890442,1.4056867361068726,-0.4007512331008911,-0.4318641424179077
40,40,1.8095341920852661,1.9243972301483154,1.3451893329620361,1.3872264623641968,-0.36481380462646484,-0.39450299739837646
41,41,1.7638195753097534,1.874999761581421,1.328088641166687,1.3693063259124756,-0.33033430576324463,-0.3587073087692261
42,42,1.7199567556381226,1.8276677131652832,1.3114712238311768,1.3519126176834106,-0.2972513437271118,-0.32440853118896484
43,43,1.6778682470321655,1.782310128211975,1.295325517654419,1.3350318670272827,-0.2655067443847656,-0.29154038429260254
44,44,1.637479543685913,1.7388405799865723,1.2796404361724854,1.3186510801315308,-0.23504424095153809,-0.2600405216217041
45,45,1.598719835281372,1.6971765756607056,1.2644048929214478,1.3027572631835938,-0.2058103084564209,-0.22984886169433594
46,46,1.561521291732788,1.657239556312561,1.2496083974838257,1.287338137626648,-0.17775392532348633,-0.20090878009796143
47,47,1.5258188247680664,1.6189539432525635,1.2352403402328491,1.2723811864852905,-0.1508258581161499,-0.17316532135009766
48,48,1.491550087928772,1.5822480916976929,1.2212903499603271,1.2578744888305664,-0.12497913837432861,-0.14656662940979004
49,49,1.4586552381515503,1.547053337097168,1.2077480554580688,1.243806004524231,-0.10016870498657227,-0.12106287479400635
50,50,1.4270777702331543,1.513304352760315,1.1946035623550415,1.2301644086837769,-0.07635188102722168,-0.09660696983337402
51,51,1.3967628479003906,1.4809390306472778,1.1818472146987915,1.2169383764266968,-0.053487300872802734,-0.07315361499786377
52,52,1.3676581382751465,1.4498975276947021,1.1694691181182861,1.204116940498352,-0.03153550624847412,-0.0506596565246582
53,53,1.3397139310836792,1.4201232194900513,1.15746009349823,1.1916892528533936,-0.010459065437316895,-0.029083847999572754
54,54,1.3128820657730103,1.391561508178711,1.145810604095459,1.1796447038650513,0.009778499603271484,-0.008386731147766113
55,55,1.2871167659759521,1.3641605377197266,1.1345117092132568,1.1679728031158447,0.029211580753326416,0.011469244956970215
56,56,1.2623744010925293,1.337870717048645,1.1235543489456177,1.1566636562347412,0.04787319898605347,0.03052002191543579
57,57,1.2386126518249512,1.3126447200775146,1.1129297018051147,1.145707130432129,0.06579506397247314,0.048799872398376465
58,58,1.2157912254333496,1.288437008857727,1.1026291847229004,1.1350934505462646,0.08300787210464478,0.0663418173789978
59,59,1.1938716173171997,1.265204906463623,1.0926443338394165,1.1248133182525635,0.0995403528213501,0.08317685127258301
60,60,1.1728167533874512,1.2429065704345703,1.082966685295105,1.1148571968078613,0.1154206395149231,0.0993351936340332
61,61,1.152591586112976,1.2215025424957275,1.0735881328582764,1.1052160263061523,0.13067513704299927,0.11484545469284058
62,62,1.1331621408462524,1.2009555101394653,1.0645009279251099,1.0958811044692993,0.1453295350074768,0.1297348141670227
63,63,1.1144959926605225,1.1812288761138916,1.055696964263916,1.086843490600586,0.15940821170806885,0.14402949810028076
64,64,1.0965617895126343,1.1622884273529053,1.047168493270874,1.0780948400497437,0.17293483018875122,0.15775465965270996
65,65,1.0793299674987793,1.1441010236740112,1.0389081239700317,1.0696265697479248,0.18593168258666992,0.17093408107757568
66,66,1.0627717971801758,1.1266353130340576,1.030908226966858,1.061430811882019,0.19842040538787842,0.18359041213989258
67,67,1.0468603372573853,1.109860897064209,1.0231618881225586,1.0534993410110474,0.21042144298553467,0.19574594497680664
68,68,1.0315687656402588,1.0937490463256836,1.0156617164611816,1.0458245277404785,0.2219548225402832,0.20742130279541016
69,69,1.0168726444244385,1.0782722234725952,1.0084010362625122,1.0383988618850708,0.23303920030593872,0.21863645315170288
70,70,1.0027474164962769,1.0634040832519531,1.0013728141784668,1.0312148332595825,0.24369287490844727,0.22941052913665771
71,71,0.9891701936721802,1.049118995666504,0.9945703744888306,1.0242650508880615,0.253933310508728,0.23976212739944458
72,72,0.9761189222335815,1.0353933572769165,0.9879872798919678,1.017542839050293,0.2637770175933838,0.249708354473114
73,73,0.9635722637176514,1.0222036838531494,0.9816171526908875,1.0110409259796143,0.2732401490211487,0.2592662572860718
74,74,0.9515100121498108,1.0095278024673462,0.9754537343978882,1.0047526359558105,0.28233790397644043,0.2684516906738281
75,75,0.9399125576019287,0.9973449110984802,0.9694908857345581,0.9986715912818909,0.2910851240158081,0.27727997303009033
76,76,0.9287614226341248,0.9856343865394592,0.9637227058410645,0.9927912354469299,0.2994956970214844,0.28576594591140747
77,77,0.9180386662483215,0.9743771553039551,0.9581433534622192,0.9871054291725159,0.30758315324783325,0.29392343759536743
78,78,0.9077271819114685,0.9635542035102844,0.9527471661567688,0.981607973575592,0.31536048650741577,0.30176615715026855
79,79,0.897810161113739,0.9531483054161072,0.9475284218788147,0.97629314661026,0.32284021377563477,0.309306800365448
80,80,0.8882723450660706,0.9431420564651489,0.9424819946289062,0.9711549878120422,0.33003395795822144,0.31655776500701904
81,81,0.8790982365608215,0.9335193037986755,0.9376024007797241,0.9661880135536194,0.33695340156555176,0.32353079319000244
82,82,0.8702734708786011,0.924264669418335,0.9328845143318176,0.9613868594169617,0.3436093330383301,0.33023715019226074
83,83,0.8617842793464661,0.9153626561164856,0.9283233880996704,0.9567458629608154,0.3500121831893921,0.33668792247772217
84,84,0.8536168932914734,0.9067996144294739,0.9239138960838318,0.9522602558135986,0.3561723232269287,0.3428930640220642
85,85,0.8457590937614441,0.8985613584518433,0.9196516275405884,0.947924792766571,0.3620989918708801,0.348862886428833
86,86,0.8381983041763306,0.8906351923942566,0.9155316948890686,0.9437347054481506,0.3678015470504761,0.3546065092086792
87,87,0.8309226632118225,0.8830082416534424,0.9115495681762695,0.9396851658821106,0.3732891082763672,0.3601333498954773
88,88,0.8239210247993469,0.875668466091156,0.9077009558677673,0.9357715845108032,0.378570020198822,0.3654520511627197
89,89,0.8171825408935547,0.8686044216156006,0.9039815068244934,0.9319894909858704,0.38365238904953003,0.37057095766067505
90,90,0.8106967210769653,0.8618050813674927,0.9003869891166687,0.9283345937728882,0.3885442018508911,0.37549805641174316
91,91,0.8044538497924805,0.8552597165107727,0.8969135284423828,0.9248025417327881,0.39325278997421265,0.38024115562438965
92,92,0.7984439730644226,0.8489582538604736,0.8935568928718567,0.9213892817497253,0.39778566360473633,0.3848074674606323
93,93,0.7926582098007202,0.8428910374641418,0.8903135657310486,0.9180909991264343,0.402149498462677,0.3892040252685547
94,94,0.7870877385139465,0.8370486497879028,0.8871796727180481,0.9149036407470703,0.4063509702682495,0.3934376835823059
95,95,0.7817240357398987,0.8314222693443298,0.8841515779495239,0.911823570728302,0.4103964567184448,0.39751482009887695
96,96,0.776559054851532,0.8260031938552856,0.8812258839607239,0.9088471531867981,0.41429203748703003,0.40144169330596924
97,97,0.7715849280357361,0.8207834959030151,0.8783990740776062,0.9059710502624512,0.41804373264312744,0.40522414445877075
98,98,0.7667941451072693,0.8157548904418945,0.8756678104400635,0.9031915068626404,0.42165708541870117,0.40886807441711426
99,99,0.7621797323226929,0.810910165309906,0.8730290532112122,0.9005054831504822,0.425137460231781,0.41237878799438477
100,100,0.7577347159385681,0.8062418103218079,0.8704795837402344,0.8979097008705139,0.4284900426864624,0.41576170921325684
101,101,0.753452479839325,0.8017430901527405,0.8680164217948914,0.8954010605812073,0.4317198395729065,0.4190216660499573
102,102,0.7493266463279724,0.797407329082489,0.8656365275382996,0.8929766416549683,0.4348316788673401,0.42216354608535767
103,103,0.7453513145446777,0.7932280898094177,0.8633373379707336,0.8906335234642029,0.43783003091812134,0.4251919984817505
104,104,0.7415204048156738,0.7891992926597595,0.8611158132553101,0.8883689045906067,0.4407194256782532,0.4281114339828491
105,105,0.7378284335136414,0.7853151559829712,0.8589693903923035,0.8861801028251648,0.4435040354728699,0.4309260845184326
106,106,0.7342700958251953,0.7815698981285095,0.8568956255912781,0.8840644359588623,0.4461878538131714,0.4336400628089905
107,107,0.7308402061462402,0.7779581546783447,0.8548919558525085,0.8820193409919739,0.4487748146057129,0.4362573027610779
108,108,0.7275335192680359,0.7744746208190918,0.8529557585716248,0.8800423741340637,0.4512687921524048,0.43878161907196045
109,109,0.7243456840515137,0.771114706993103,0.8510850071907043,0.8781313896179199,0.45367318391799927,0.4412163496017456
110,110,0.7212718725204468,0.7678732872009277,0.8492772579193115,0.8762837648391724,0.45599156618118286,0.4435652494430542
111,111,0.7183077335357666,0.764745831489563,0.8475303649902344,0.8744974732398987,0.4582272171974182,0.4458314776420593
112,112,0.7154492735862732,0.761728048324585,0.8458423614501953,0.8727703094482422,0.46038317680358887,0.44801831245422363
113,113,0.7126920223236084,0.7588158249855042,0.8442108631134033,0.8711003661155701,0.46246278285980225,0.4501286745071411
114,114,0.7100325226783752,0.756004810333252,0.8426342606544495,0.8694853782653809,0.46446871757507324,0.4521656036376953
115,115,0.707466721534729,0.7532913684844971,0.8411104083061218,0.8679236173629761,0.46640390157699585,0.4541319012641907
116,116,0.7049911618232727,0.7506717443466187,0.8396375179290771,0.8664131760597229,0.46827101707458496,0.4560301899909973
117,117,0.7026023864746094,0.7481423020362854,0.8382138013839722,0.8649522066116333,0.47007274627685547,0.4578631520271301
118,118,0.7002971172332764,0.7456995844841003,0.8368375897407532,0.8635389804840088,0.4718114733695984,0.4596332907676697
119,119,0.6980721950531006,0.7433404326438904,0.8355071544647217,0.8621719479560852,0.47348958253860474,0.46134281158447266
120,120,0.6959244608879089,0.7410615682601929,0.8342208862304688,0.8608493208885193,0.4751095175743103,0.46299415826797485
121,121,0.693851113319397,0.7388597726821899,0.8329772353172302,0.8595695495605469,0.47667330503463745,0.4645896553993225
122,122,0.6918492317199707,0.7367326021194458,0.8317747712135315,0.8583312630653381,0.47818315029144287,0.46613115072250366
123,123,0.6899160742759705,0.7346768975257874,0.8306118845939636,0.8571329712867737,0.4796411991119385,0.4676207900047302
124,124,0.6880491375923157,0.7326899170875549,0.8294872641563416,0.8559730648994446,0.4810492992401123,0.46906065940856934
125,125,0.6862459182739258,0.7307693362236023,0.8283995985984802,0.8548504710197449,0.48240935802459717,0.47045236825942993
